,Title,sadness,anticipation,Fun,Love
37462,sauce,4.0,3.0,1.0,0.0
37471,state of emergency,8.0,4.0,0.0,0.0
37481,scared to be lonely,2.0,3.0,0.0,0.0
37516,pray for me,5.0,8.0,0.0,0.0
37572,racks 2 skinny,9.0,15.0,0.0,0.0
37581,rudolph the red-nosed reindeer,0.0,0.0,0.0,0.0
37604,bigger than me,0.0,0.0,0.0,0.0
37616,in your arms,1.0,3.0,0.0,0.0
37639,loyalty before royalty,4.0,3.0,0.0,0.0
37642,saintlaurentysl,3.0,8.0,0.0,0.0
37656,crush a lot,5.0,6.0,0.0,0.0
37694,love sick,4.0,5.0,0.0,0.0
37701,chill bill,16.0,18.0,0.0,0.0
37709,all day and night - jax jones & martin solveig present europa,3.0,0.0,0.0,1.0
37790,sidewalks,6.0,9.0,0.0,0.0
37810,lemonade,1.0,5.0,0.0,0.0
37841,whatever you want,2.0,3.0,0.0,0.0
37855,no heart,2.0,4.0,0.0,0.0
37869,puppet,1.0,2.0,0.0,0.0
37887,santas coming for us,1.0,7.0,0.0,0.0
37917,roses,5.0,3.0,0.0,0.0
37938,die for me,8.0,4.0,0.0,0.0
37975,shotta flow,4.0,3.0,0.0,0.0
37983,dont kill my vibe,2.0,3.0,0.0,0.0
37999,my december,0.0,1.0,0.0,0.0
38010,remember the name,4.0,4.0,0.0,0.0
38097,perplexing pegasus,1.0,3.0,0.0,0.0
38108,i get lonely,1.0,3.0,0.0,0.0
38193,4pm in calabasas,8.0,6.0,0.0,0.0
38254,take it back,0.0,0.0,0.0,0.0
38259,auto pilot,0.0,1.0,1.0,0.0
38304,no vacancy,1.0,0.0,0.0,0.0
38372,linger,1.0,3.0,0.0,1.0
38408,black & white,3.0,0.0,0.0,1.0
38418,talk,1.0,0.0,0.0,0.0
38484,21,0.0,4.0,0.0,0.0
38540,lost in the fire,2.0,2.0,0.0,0.0
38571,blinding lights,0.0,3.0,0.0,0.0
38638,want to,0.0,1.0,0.0,0.0
38676,toosie slide,2.0,3.0,0.0,0.0
38757,lying from you,0.0,1.0,0.0,0.0
38782,new magic wand,4.0,8.0,0.0,0.0
38842,legacy,1.0,7.0,0.0,0.0
38860,ok,3.0,2.0,0.0,0.0
38884,love her,0.0,0.0,0.0,0.0
38887,killshot,3.0,3.0,0.0,0.0
38968,burning,0.0,3.0,0.0,0.0
39038,better when youre gone,7.0,2.0,0.0,0.0
39070,pretty please,0.0,1.0,0.0,1.0
39228,runnin,6.0,3.0,0.0,0.0
39251,forever ever,6.0,2.0,0.0,0.0
39254,girls like you,1.0,3.0,0.0,0.0
39289,middle,1.0,1.0,0.0,0.0
39315,points of authority,4.0,1.0,0.0,0.0
39348,alright,5.0,10.0,0.0,0.0
39379,used to love,1.0,1.0,0.0,0.0
39455,ex calling,3.0,5.0,1.0,0.0
39458,dope new gospel,5.0,6.0,0.0,0.0
39461,seventeen,4.0,2.0,0.0,0.0
39472,be alright,3.0,2.0,0.0,0.0
39502,lottery,5.0,8.0,0.0,0.0
39522,1000 nights,5.0,7.0,0.0,0.0
39625,posthumous forgiveness,3.0,6.0,0.0,0.0
39701,like i do,9.0,8.0,0.0,0.0
39715,i got you,4.0,1.0,0.0,0.0
39771,walking the wire,2.0,1.0,0.0,1.0
39831,homemade dynamite  - remix,5.0,2.0,0.0,0.0
39843,all da smoke,3.0,4.0,0.0,0.0
39884,dangerous,8.0,2.0,0.0,0.0
39936,dont give up on me -,2.0,1.0,0.0,0.0
39955,do not disturb,0.0,2.0,0.0,0.0
40041,indica badu,6.0,6.0,1.0,0.0
40054,the way life goes,2.0,5.0,0.0,0.0
40272,lose it,2.0,2.0,0.0,0.0
40299,chicago freestyle,1.0,2.0,0.0,0.0
40398,no control,1.0,0.0,0.0,0.0
40403,lost in yesterday,3.0,4.0,0.0,0.0
40417,i warned myself,2.0,4.0,0.0,1.0
40431,big,0.0,1.0,0.0,0.0
40463,celebration station,5.0,7.0,0.0,0.0
40478,cool,1.0,0.0,0.0,0.0
40504,normal,1.0,0.0,0.0,0.0
40540,is there more,4.0,8.0,0.0,0.0
40564,want you back,0.0,2.0,0.0,0.0
40609,bad idea,3.0,1.0,0.0,0.0
40657,tonight,1.0,0.0,0.0,0.0
40680,hard to love,2.0,1.0,0.0,0.0
40710,thriller,8.0,7.0,0.0,0.0
40733,bet you wanna,0.0,3.0,0.0,0.0
40832,greece,5.0,4.0,1.0,0.0
40939,let me get me,2.0,2.0,0.0,0.0
40950,lost in japan - remix,3.0,2.0,0.0,0.0
40975,get dripped,1.0,5.0,0.0,0.0
41033,crawling,2.0,0.0,0.0,0.0
41065,going bad,5.0,6.0,0.0,0.0
41127,noticed,0.0,1.0,0.0,0.0
41167,cooler than a bitch,5.0,9.0,0.0,0.0
41180,imagine,3.0,2.0,0.0,0.0
41224,wake up alone,4.0,1.0,0.0,0.0
41256,no complaints,3.0,5.0,0.0,0.0
41259,wake up in the sky,6.0,8.0,1.0,0.0
41287,so good,8.0,8.0,0.0,0.0
41303,star treatment,4.0,6.0,0.0,0.0
41335,murder on my mind,9.0,3.0,0.0,0.0
41352,untouchable,9.0,7.0,0.0,0.0
41372,whats love got to do with it,1.0,1.0,0.0,1.0
41432,dont let me down,1.0,1.0,0.0,0.0
41488,heatstroke,2.0,2.0,0.0,0.0
41519,die for you,6.0,2.0,0.0,0.0
41600,questions,6.0,4.0,0.0,1.0
41640,down for life,1.0,1.0,0.0,0.0
41644,shooting stars,1.0,2.0,0.0,0.0
41690,flooded,1.0,5.0,0.0,0.0
41739,white sand,6.0,6.0,0.0,0.0
41760,bury a friend,7.0,5.0,0.0,0.0
41839,bad and boujee,11.0,10.0,0.0,0.0
41871,daddy lessons,1.0,1.0,0.0,0.0
41875,lucid dreams,5.0,2.0,0.0,1.0
41949,entertainer,2.0,5.0,0.0,1.0
41977,bloody waters,8.0,5.0,0.0,0.0
41986,sunset lover,0.0,0.0,0.0,0.0
42026,swang,9.0,6.0,1.0,0.0
42038,you make my dreams,1.0,0.0,0.0,1.0
42053,run me dry,5.0,1.0,0.0,0.0
42127,shotta flow 5,6.0,5.0,0.0,0.0
42181,sober up,1.0,4.0,0.0,0.0
42244,on a roll,0.0,2.0,1.0,0.0
42301,feels,2.0,0.0,0.0,0.0
42336,contact,1.0,0.0,0.0,0.0
42415,had enough,0.0,0.0,0.0,1.0
42497,highest in the room  - remix,6.0,4.0,0.0,0.0
42569,silent night,2.0,8.0,0.0,0.0
42587,im gonna be,2.0,4.0,0.0,0.0
42608,not 20 anymore,1.0,2.0,0.0,0.0
42616,go crazy,5.0,1.0,0.0,0.0
42668,toxic,1.0,1.0,0.0,0.0
42689,call casting,7.0,7.0,0.0,0.0
42700,the overpass,0.0,2.0,0.0,0.0
42707,sooner or later,0.0,2.0,0.0,0.0
42774,silver lining,4.0,6.0,0.0,0.0
42780,poker face,0.0,4.0,1.0,0.0
42818,pet cheetah,3.0,3.0,0.0,0.0
42848,soul food ii,9.0,11.0,0.0,0.0
42852,nights like this,1.0,2.0,0.0,0.0
42901,schizophrenia,8.0,4.0,0.0,0.0
42932,cant stop,6.0,13.0,0.0,0.0
42992,hard 2 face reality,5.0,7.0,0.0,0.0
43071,wrld on drugs,5.0,4.0,0.0,0.0
43116,overdue,2.0,5.0,0.0,0.0
43133,mama mia,9.0,7.0,0.0,0.0
43151,unicorn purp,7.0,8.0,0.0,0.0
43164,make up,1.0,2.0,0.0,0.0
43197,flex like ouu,2.0,0.0,0.0,0.0
43201,everyday,2.0,1.0,0.0,0.0
43227,inside friend,2.0,2.0,0.0,0.0
43294,invisible string,3.0,4.0,0.0,0.0
43314,the mack,3.0,8.0,1.0,0.0
43389,on me,1.0,0.0,0.0,0.0
43454,look at me!,1.0,1.0,0.0,0.0
43538,deadz,2.0,8.0,0.0,0.0
43541,cry about it later,1.0,4.0,0.0,0.0
43558,breakdown,1.0,2.0,0.0,0.0
43620,nobody can save me,4.0,0.0,0.0,0.0
43644,last christmas,1.0,4.0,0.0,1.0
43678,not today,1.0,3.0,0.0,0.0
43787,skepta interlude,1.0,4.0,0.0,0.0
43810,let me out,2.0,2.0,0.0,0.0
43838,ordinary day,1.0,4.0,0.0,0.0
43842,little of your love - bloodpop® remix,0.0,1.0,0.0,1.0
43855,heart of glass,4.0,2.0,0.0,1.0
43890,belly,1.0,5.0,0.0,0.0
43894,party,0.0,1.0,0.0,0.0
43901,midnight summer jam,2.0,7.0,0.0,0.0
43912,feels like summer,2.0,4.0,0.0,0.0
43928,unholy,4.0,3.0,0.0,0.0
43966,play date,1.0,3.0,0.0,0.0
44010,get ugly,2.0,1.0,0.0,0.0
44045,no debate,1.0,1.0,0.0,0.0
44049,first off,3.0,6.0,0.0,0.0
44069,location,2.0,2.0,0.0,0.0
44109,mother tongue,6.0,5.0,0.0,0.0
44118,on the loose,2.0,0.0,0.0,0.0
44171,color blind,1.0,1.0,0.0,0.0
44185,break my heart,2.0,2.0,0.0,0.0
44275,new rules,1.0,1.0,0.0,0.0
44447,merry christmas everyone,0.0,3.0,0.0,0.0
44469,happy now,3.0,4.0,0.0,1.0
44496,fast,3.0,7.0,1.0,0.0
44519,the bees knees,9.0,12.0,0.0,0.0
44528,hold the line,0.0,1.0,0.0,0.0
44544,in my feelings,4.0,3.0,0.0,0.0
44587,wild love,4.0,4.0,0.0,0.0
44613,lonesome train,1.0,2.0,0.0,0.0
44628,perfect illusion,1.0,2.0,0.0,0.0
44655,writer in the dark,3.0,3.0,0.0,1.0
44665,hollywoods bleeding,5.0,5.0,0.0,0.0
44715,reel it in,3.0,3.0,0.0,0.0
44748,marry me,1.0,3.0,0.0,0.0
44768,5 am in toronto,4.0,11.0,0.0,0.0
44815,stop the cavalry,1.0,0.0,0.0,0.0
44822,perfect symphony,2.0,2.0,0.0,0.0
44838,sandcastles,2.0,6.0,0.0,0.0
44846,4l,11.0,8.0,0.0,0.0
44881,who do you love,5.0,6.0,0.0,0.0
44928,stay with me,2.0,2.0,0.0,1.0
44931,this week,0.0,5.0,0.0,0.0
44970,slide away,0.0,2.0,0.0,0.0
44995,astrothunder,0.0,3.0,0.0,0.0
45017,sunday best,1.0,3.0,0.0,0.0
45092,ode to my family,1.0,1.0,0.0,0.0
45121,sour diesel,1.0,1.0,0.0,0.0
45164,break da law,8.0,6.0,0.0,0.0
45251,bang!,3.0,3.0,1.0,0.0
45258,speechless,3.0,1.0,0.0,1.0
45277,thing for you,0.0,0.0,0.0,0.0
45298,my oh my,2.0,5.0,0.0,0.0
45378,the nights,3.0,3.0,0.0,0.0
45428,kooda,3.0,1.0,0.0,0.0
45469,good as hell,2.0,7.0,0.0,0.0
45481,blame it on your love,4.0,2.0,0.0,0.0
45497,roll in peace,5.0,6.0,0.0,0.0
45549,changing,1.0,2.0,0.0,0.0
45566,jet lag,4.0,4.0,0.0,0.0
45584,so what,3.0,5.0,0.0,0.0
45663,i dare you,3.0,3.0,0.0,0.0
45693,mistakes,7.0,11.0,0.0,0.0
45704,share that love,2.0,3.0,1.0,0.0
45772,wanted,3.0,3.0,0.0,1.0
45792,human,2.0,1.0,0.0,0.0
45849,pillowtalk,2.0,0.0,0.0,0.0
45871,slow dancing in the dark,1.0,0.0,0.0,0.0
45912,midnight memories,0.0,0.0,0.0,0.0
45963,bounce back,7.0,9.0,0.0,0.0
45991,gucci gang,1.0,0.0,0.0,0.0
46037,fr fr,3.0,5.0,0.0,0.0
46068,thotiana,3.0,1.0,0.0,0.0
46089,rerun,1.0,4.0,1.0,0.0
46113,new man,2.0,5.0,0.0,0.0
46173,fake smile,6.0,4.0,0.0,0.0
46228,all around the world,2.0,4.0,0.0,0.0
46269,party up the street,2.0,0.0,0.0,0.0
46286,after dark,2.0,5.0,0.0,0.0
46327,rodeo,4.0,3.0,1.0,0.0
46358,gun smoke,10.0,5.0,0.0,0.0
46441,empty,7.0,1.0,0.0,0.0
46521,work out,0.0,0.0,0.0,1.0
46579,skin,4.0,3.0,0.0,1.0
46614,survival,4.0,5.0,0.0,0.0
46649,bruises,3.0,1.0,0.0,1.0
46697,anxiety,1.0,2.0,0.0,0.0
46787,1999,1.0,4.0,0.0,0.0
46932,theres no way,0.0,0.0,0.0,0.0
46955,not going home,4.0,1.0,0.0,0.0
46983,ritual,2.0,1.0,0.0,0.0
47118,whoopty,2.0,0.0,0.0,0.0
47166,carry on,4.0,1.0,0.0,0.0
47217,courage to change,2.0,2.0,0.0,1.0
47238,i love it,3.0,2.0,0.0,0.0
47273,train food,6.0,7.0,0.0,0.0
47293,you wreck me,1.0,1.0,0.0,0.0
47384,a good night,3.0,4.0,0.0,0.0
47444,eraser,7.0,7.0,0.0,0.0
47479,last day alive,0.0,2.0,0.0,0.0
47545,be the one,1.0,0.0,0.0,0.0
47614,reminder - remix,4.0,7.0,0.0,0.0
47630,cake by the ocean,2.0,7.0,0.0,0.0
47685,beauty in the benz,5.0,6.0,0.0,0.0
47692,one kiss,3.0,3.0,0.0,0.0
47772,one last time,1.0,1.0,0.0,0.0
47818,did you see,1.0,1.0,1.0,0.0
47873,just like you,2.0,1.0,0.0,0.0
47895,roulette,0.0,0.0,0.0,0.0
47906,let me go,3.0,1.0,0.0,1.0
47941,plain jane remix,5.0,7.0,0.0,0.0
47954,bellyache,1.0,2.0,0.0,0.0
47982,the ultracheese,1.0,7.0,0.0,0.0
48014,inhale,1.0,1.0,0.0,0.0
48019,fire,2.0,3.0,0.0,0.0
48036,city lights,0.0,1.0,0.0,1.0
48051,salems interlude,3.0,1.0,0.0,0.0
48138,the search,11.0,14.0,0.0,0.0
48213,blood.,1.0,2.0,0.0,0.0
48287,high on life,2.0,2.0,0.0,0.0
48351,living in a ghost town,0.0,2.0,0.0,0.0
48416,cry alone,4.0,0.0,0.0,1.0
48431,eye 2 eye,6.0,6.0,0.0,0.0
48475,top down on da nawf,7.0,9.0,0.0,0.0
48517,peek a boo,0.0,2.0,0.0,1.0
48542,legends,1.0,1.0,0.0,0.0
48563,one more sleep,2.0,2.0,0.0,0.0
48587,never go back,2.0,0.0,0.0,0.0
48605,crazy,3.0,4.0,0.0,0.0
48614,come and see me,2.0,4.0,0.0,0.0
48630,tg4m,1.0,2.0,0.0,0.0
48710,old me,1.0,4.0,0.0,0.0
48731,four out of five,1.0,2.0,0.0,0.0
48813,uka uka,7.0,2.0,0.0,0.0
48816,nowhere fast,14.0,8.0,0.0,0.0
48868,legend,5.0,17.0,0.0,0.0
48881,complicated,1.0,0.0,0.0,0.0
48898,st. percy,6.0,8.0,0.0,0.0
48905,taped up heart,3.0,2.0,0.0,1.0
48935,london boy,1.0,1.0,1.0,0.0
48952,hot2touch,3.0,0.0,0.0,0.0
49001,ex bitch,4.0,1.0,0.0,0.0
49022,ecstasy,8.0,5.0,0.0,0.0
49025,walk it talk it,2.0,5.0,0.0,0.0
49075,7 rings  - remix,5.0,5.0,0.0,0.0
49128,earfquake,3.0,4.0,0.0,0.0
49173,18,0.0,6.0,0.0,1.0
49192,money bag,6.0,6.0,0.0,0.0
49197,tic tac toe,4.0,6.0,0.0,0.0
49218,all falls down,1.0,1.0,0.0,0.0
49289,oh lord,2.0,4.0,0.0,0.0
49308,connection,1.0,3.0,0.0,0.0
49339,break up every night,1.0,3.0,0.0,0.0
49420,tired,4.0,3.0,0.0,0.0
49443,rule the world,0.0,2.0,0.0,0.0
49479,yessirskiii,13.0,8.0,0.0,0.0
49627,screw juice,5.0,2.0,0.0,0.0
49649,blame it on me,3.0,1.0,0.0,1.0
49671,silly watch,3.0,4.0,0.0,0.0
49736,salt,1.0,2.0,0.0,0.0
49768,setting fires,0.0,0.0,0.0,0.0
49795,bring me love,1.0,5.0,0.0,1.0
49807,dont throw it away,1.0,4.0,0.0,0.0
49840,jumpsuit,1.0,2.0,0.0,0.0
49880,critical darling,10.0,8.0,0.0,0.0
49938,free fallin,5.0,3.0,0.0,0.0
50041,early 20 rager,1.0,3.0,1.0,0.0
50077,say it loud - im black and im proud,7.0,6.0,0.0,0.0
50109,never enough,1.0,1.0,0.0,0.0
50126,good thing,2.0,4.0,0.0,0.0
50156,hot stuff,0.0,2.0,0.0,0.0
50172,kids in love,2.0,3.0,0.0,0.0
50202,yeah!,3.0,5.0,1.0,0.0
50237,my blood,2.0,0.0,0.0,0.0
50259,brotha man,3.0,5.0,0.0,0.0
50357,circles,4.0,5.0,0.0,1.0
50388,talk fast,3.0,3.0,0.0,0.0
50401,dedication,4.0,8.0,0.0,0.0
50405,show me how to live,3.0,3.0,0.0,0.0
50432,invisible things,2.0,2.0,0.0,1.0
50448,uh huh,5.0,3.0,1.0,0.0
50487,let you love me,2.0,1.0,0.0,1.0
50515,open letter,3.0,5.0,0.0,1.0
50554,love story,3.0,8.0,0.0,1.0
50565,drip too hard,2.0,8.0,0.0,0.0
50609,pretty boy,3.0,4.0,0.0,0.0
50617,your song,1.0,3.0,0.0,0.0
50695,lovesick girls,8.0,6.0,0.0,1.0
50765,cross me,4.0,8.0,0.0,0.0
50840,took his time,8.0,12.0,0.0,0.0
50846,days in the east,8.0,6.0,0.0,0.0
50871,redemption interlude,2.0,1.0,0.0,0.0
50873,out the mud,10.0,5.0,0.0,0.0
50887,vibez,4.0,6.0,0.0,0.0
50910,july,2.0,0.0,0.0,1.0
50925,the weekend - funk wav remix,1.0,2.0,0.0,0.0
50981,whip,4.0,6.0,1.0,0.0
50988,transportin,1.0,4.0,0.0,0.0
51007,space cadet,0.0,1.0,0.0,1.0
51042,together,1.0,2.0,0.0,0.0
51061,forget me too,4.0,2.0,0.0,0.0
51125,high for hours,11.0,11.0,0.0,0.0
51133,christmas time is here,0.0,3.0,0.0,0.0
51147,again,3.0,3.0,0.0,0.0
51168,in the dark,4.0,2.0,0.0,0.0
51224,drug addicts,3.0,4.0,0.0,0.0
51238,chun-li,3.0,5.0,0.0,0.0
51261,i miss you,0.0,2.0,0.0,0.0
51293,look back at it,0.0,4.0,0.0,0.0
51317,papercut,3.0,2.0,0.0,0.0
51346,so high,0.0,0.0,1.0,0.0
51349,take yourself home,4.0,2.0,0.0,0.0
51383,big shot,2.0,5.0,0.0,0.0
51403,kiss me,4.0,3.0,0.0,0.0
51466,we go high,8.0,12.0,0.0,0.0
51469,cruel summer,1.0,1.0,0.0,0.0
51533,rocket ship,0.0,4.0,0.0,0.0
51537,miss americana & the heartbreak prince,8.0,6.0,0.0,0.0
51561,signs,3.0,6.0,0.0,0.0
51596,be kind,6.0,2.0,0.0,1.0
51654,forward,0.0,1.0,0.0,0.0
51671,second emotion,3.0,3.0,0.0,0.0
51694,give me love,0.0,4.0,0.0,1.0
51719,me & ur ghost,0.0,2.0,0.0,0.0
51740,love yourself,3.0,1.0,0.0,0.0
51774,by your side,2.0,0.0,0.0,0.0
51809,get out,8.0,6.0,0.0,0.0
51878,two®,2.0,3.0,0.0,0.0
51883,brown paper bag,9.0,16.0,0.0,0.0
51886,keep that shit,2.0,3.0,0.0,0.0
51890,dont wanna know,0.0,3.0,0.0,0.0
51925,things change,4.0,1.0,0.0,0.0
51964,palace,1.0,1.0,0.0,0.0
52027,thug life,5.0,4.0,0.0,0.0
52037,i would die for you,2.0,2.0,0.0,0.0
52111,hear me calling,2.0,7.0,0.0,1.0
52128,hun43rd,4.0,4.0,0.0,0.0
52138,old town road  - seoul town road remix,1.0,2.0,0.0,0.0
52238,some way,4.0,5.0,0.0,0.0
52248,laugh now cry later,4.0,4.0,0.0,0.0
52310,goodnight n go,3.0,3.0,0.0,0.0
52393,from the inside,0.0,1.0,0.0,0.0
52465,ride it,1.0,2.0,1.0,0.0
52627,emotions,5.0,3.0,0.0,1.0
52635,shape of you,3.0,3.0,0.0,1.0
52692,breathe deeper,2.0,4.0,0.0,0.0
52733,déjà vu,0.0,0.0,0.0,1.0
52744,shake up christmas,0.0,3.0,0.0,0.0
52767,this is halloween,4.0,5.0,0.0,0.0
52784,cant die,4.0,2.0,0.0,0.0
52801,runnin down a dream,0.0,2.0,0.0,0.0
52812,hemotions,4.0,2.0,0.0,0.0
52827,downtown,2.0,1.0,0.0,0.0
52858,enjoy yourself,1.0,7.0,0.0,0.0
52890,never be the same - radio edit,3.0,2.0,0.0,0.0
52985,wake up where you are,1.0,6.0,0.0,1.0
53019,rooting for you,2.0,1.0,0.0,1.0
53049,get it together,5.0,6.0,0.0,0.0
53248,low life,5.0,4.0,1.0,0.0
53264,toes,0.0,3.0,0.0,0.0
53319,dont hurt yourself,7.0,5.0,0.0,1.0
53343,what ive done,2.0,2.0,0.0,1.0
53378,lalala,1.0,2.0,0.0,0.0
53413,summer air,0.0,1.0,0.0,0.0
53416,september song,2.0,0.0,0.0,0.0
53513,memories,1.0,2.0,0.0,0.0
53553,my oasis,2.0,2.0,0.0,1.0
53582,wild wild west,2.0,5.0,0.0,0.0
53626,beach house,1.0,6.0,1.0,0.0
53678,love somebody,3.0,4.0,0.0,0.0
53694,let it snow! let it snow! let it snow!,1.0,5.0,0.0,1.0
53812,ballin flossin,2.0,3.0,1.0,0.0
53815,dark side of the moon,4.0,4.0,0.0,0.0
53838,now and later,6.0,7.0,0.0,0.0
53884,bad guy,6.0,3.0,0.0,0.0
53919,what the price,2.0,6.0,0.0,0.0
53958,locked up pt. 2,3.0,4.0,0.0,0.0
53974,old town road,1.0,0.0,0.0,0.0
54007,fine line,1.0,1.0,0.0,0.0
54122,bang bang,4.0,3.0,1.0,0.0
54156,the plan,0.0,4.0,0.0,0.0
54164,lust.,7.0,11.0,0.0,0.0
54232,this is what you came for,1.0,1.0,0.0,0.0
54278,bloodstream,5.0,2.0,0.0,0.0
54304,waiting room,1.0,3.0,0.0,0.0
54310,chrome heart tags,4.0,5.0,0.0,0.0
54343,the return,8.0,14.0,0.0,0.0
54357,thank you,3.0,0.0,0.0,1.0
54360,the days,5.0,5.0,0.0,0.0
54389,free woman,1.0,2.0,0.0,0.0
54420,hips dont lie,3.0,4.0,0.0,0.0
54477,bad husband,8.0,9.0,0.0,0.0
54553,patience,0.0,4.0,0.0,0.0
54568,the worlds first ever monster truck front flip,1.0,2.0,1.0,0.0
54598,something human,0.0,1.0,0.0,0.0
54611,remember i told you,0.0,3.0,0.0,0.0
54717,call out my name,4.0,5.0,0.0,0.0
54724,best on earth  - bonus,1.0,1.0,0.0,1.0
54770,dont cry,1.0,1.0,0.0,1.0
54795,in cold blood,4.0,2.0,0.0,0.0
54822,here with me,2.0,3.0,0.0,1.0
54919,kamikaze,0.0,1.0,0.0,0.0
54946,filthy,2.0,1.0,0.0,0.0
54980,live while were young,3.0,2.0,0.0,0.0
55030,mad at disney,4.0,5.0,0.0,1.0
55124,trust my lonely,6.0,4.0,0.0,0.0
55177,blue christmas,1.0,1.0,0.0,0.0
55206,true feeling,2.0,3.0,0.0,0.0
55216,betty,2.0,4.0,0.0,0.0
55244,learning to fly,2.0,6.0,0.0,0.0
55251,a thousand years,1.0,1.0,0.0,1.0
55275,glock in my lap,7.0,8.0,0.0,0.0
55295,make it to christmas,2.0,4.0,0.0,0.0
55418,solitaires,4.0,3.0,0.0,0.0
55436,death by a thousand cuts,4.0,3.0,0.0,1.0
55516,save me,2.0,1.0,0.0,0.0
55540,all for me,4.0,1.0,0.0,0.0
55546,sexy dirty love,0.0,2.0,0.0,0.0
55590,just how it is,5.0,5.0,0.0,0.0
55636,lost,8.0,4.0,0.0,0.0
55639,given up,3.0,2.0,0.0,0.0
55670,insomnia,13.0,12.0,0.0,0.0
55736,365,2.0,0.0,0.0,0.0
55766,wake me up,3.0,5.0,0.0,1.0
55870,7 minutes,5.0,2.0,0.0,1.0
55905,one of my,0.0,0.0,0.0,0.0
55944,like you do,3.0,0.0,0.0,0.0
55949,leanin,3.0,4.0,0.0,0.0
55977,racks blue,6.0,3.0,0.0,0.0
56017,i do,4.0,7.0,1.0,0.0
56080,one thing right,2.0,3.0,0.0,0.0
56103,scars to your beautiful,1.0,3.0,0.0,0.0
56155,omertà,6.0,3.0,0.0,0.0
56169,yea yea,3.0,3.0,0.0,0.0
56187,bulletproof,0.0,1.0,0.0,0.0
56287,say something loving,1.0,7.0,0.0,0.0
56315,lost in your light,3.0,1.0,0.0,0.0
56409,im still here,3.0,3.0,0.0,1.0
56425,the happiest christmas tree,0.0,2.0,0.0,0.0
56453,touch the sky,3.0,2.0,0.0,0.0
56496,look over your shoulder,1.0,2.0,0.0,1.0
56570,bartier cardi,8.0,4.0,0.0,0.0
56616,morph,1.0,5.0,0.0,0.0
56647,calling my spirit,3.0,4.0,0.0,0.0
56673,moonwalking in calabasas  - remix,5.0,3.0,0.0,0.0
56678,la la,3.0,0.0,0.0,0.0
56725,when we were young,2.0,2.0,0.0,0.0
56806,gotti,2.0,3.0,0.0,0.0
56823,creature,7.0,4.0,0.0,0.0
56866,whippin,6.0,10.0,1.0,0.0
56895,starving,1.0,1.0,0.0,0.0
56912,kika,2.0,4.0,0.0,0.0
56947,successful,0.0,6.0,0.0,0.0
57017,consequences,3.0,2.0,0.0,1.0
57075,drip drip drip,6.0,5.0,0.0,0.0
57117,yesterday,1.0,1.0,0.0,1.0
57177,many men,9.0,9.0,0.0,0.0
57196,gifted,2.0,4.0,0.0,0.0
57203,roo,4.0,5.0,0.0,0.0
57209,ye vs. the people,15.0,12.0,0.0,0.0
57222,it aint me,1.0,1.0,0.0,0.0
57354,redbone,0.0,4.0,0.0,0.0
57383,ride,3.0,4.0,0.0,0.0
57452,bad decisions,3.0,2.0,0.0,0.0
57467,blind,5.0,2.0,0.0,0.0
57477,fml,3.0,2.0,0.0,0.0
57522,momentary bliss,3.0,4.0,0.0,0.0
57526,what are you so afraid of,1.0,1.0,0.0,1.0
57546,girls on boys,2.0,1.0,1.0,0.0
57558,cuddle my wrist,1.0,2.0,0.0,0.0
57617,stressed out,2.0,6.0,0.0,0.0
57695,someone to you,3.0,2.0,0.0,0.0
57721,take what you want,4.0,2.0,0.0,1.0
57762,west coast,6.0,4.0,0.0,1.0
57786,fun tonight,3.0,2.0,0.0,0.0
57822,gang up,3.0,3.0,0.0,0.0
57856,hold up,2.0,0.0,0.0,0.0
57875,from the dining table,1.0,0.0,0.0,0.0
57892,babushka boi,13.0,5.0,0.0,0.0
57947,what lovers do,0.0,2.0,0.0,1.0
57982,be honest,6.0,5.0,0.0,0.0
57996,welcome to the party,5.0,5.0,1.0,0.0
58014,train wreck,4.0,4.0,0.0,0.0
58033,hard on yourself,4.0,3.0,0.0,0.0
58050,please tell me,0.0,1.0,0.0,0.0
58143,my future,1.0,2.0,0.0,0.0
58178,capital letters,2.0,1.0,0.0,0.0
58264,audacity,6.0,8.0,1.0,0.0
58334,let me down slowly,3.0,1.0,0.0,0.0
58447,false god,3.0,4.0,0.0,0.0
58464,middle of the night,1.0,1.0,0.0,0.0
58495,let em talk,1.0,0.0,0.0,0.0
58498,in my room,2.0,0.0,0.0,0.0
58508,focus,1.0,2.0,0.0,0.0
58559,fine china,4.0,0.0,0.0,0.0
58565,june,1.0,4.0,0.0,0.0
58608,me and my guitar,2.0,3.0,0.0,1.0
58612,under pressure,1.0,3.0,0.0,1.0
58620,busted and blue,2.0,0.0,0.0,0.0
58670,still serving,5.0,2.0,1.0,0.0
58745,fever,4.0,7.0,0.0,0.0
58851,11 pm,2.0,2.0,0.0,0.0
58998,fairytale of new york,1.0,5.0,0.0,0.0
59048,rich love,2.0,4.0,0.0,0.0
59117,worry no more,1.0,6.0,0.0,0.0
59136,night changes,6.0,1.0,0.0,0.0
59150,norman fucking rockwell,2.0,4.0,0.0,0.0
59199,dirty sexy money,1.0,5.0,0.0,0.0
59255,in too deep,2.0,4.0,0.0,0.0
59292,machine,3.0,3.0,0.0,0.0
59318,best song ever,0.0,1.0,0.0,0.0
59395,gunz n butter,6.0,8.0,0.0,0.0
