,Title,sadness,anticipation,Fun,Love
3152,tyler herro,3.0,2.0,0.0,0.0
3169,i was never there,3.0,0.0,0.0,0.0
3202,motorcycle patches,2.0,7.0,0.0,0.0
3205,rockstar,3.0,4.0,0.0,0.0
3212,make me,3.0,1.0,0.0,0.0
3238,nico and the niners,2.0,3.0,0.0,0.0
3264,same drugs,3.0,7.0,0.0,0.0
3267,16 shots,3.0,5.0,1.0,0.0
3273,bad bad bad,3.0,2.0,0.0,0.0
3287,chicken noodle soup,0.0,1.0,0.0,1.0
3302,if you leave me now,1.0,1.0,0.0,1.0
3347,i would like,0.0,0.0,0.0,0.0
3382,off the rip,7.0,4.0,0.0,0.0
3385,leaving heaven,18.0,14.0,0.0,0.0
3408,have yourself a merry little christmas,0.0,3.0,0.0,1.0
3426,santa tell me,3.0,1.0,0.0,1.0
3460,eastside,6.0,5.0,0.0,0.0
3502,posted with demons,7.0,5.0,0.0,0.0
3514,way down we go,1.0,2.0,0.0,0.0
3531,teardrops,5.0,1.0,0.0,1.0
3595,youre gonna live forever in me,1.0,4.0,0.0,1.0
3604,i should probably go to bed,1.0,2.0,0.0,0.0
3626,till i collapse,12.0,9.0,0.0,0.0
3628,cardigan,5.0,5.0,0.0,1.0
3665,paris,4.0,3.0,1.0,0.0
3700,far gone,3.0,4.0,0.0,0.0
3703,love is madness,0.0,2.0,0.0,1.0
3715,in the end,3.0,3.0,0.0,0.0
3789,caroline,1.0,6.0,0.0,1.0
3799,done for me,5.0,0.0,0.0,1.0
3836,all i am,2.0,4.0,0.0,0.0
3857,more,2.0,4.0,1.0,0.0
3896,rake it up,3.0,8.0,0.0,0.0
3901,week without you,5.0,3.0,0.0,0.0
3906,roxanne,1.0,6.0,1.0,0.0
3947,dont dont do it!,2.0,3.0,0.0,0.0
3980,level of concern,1.0,0.0,0.0,0.0
4125,spirit in the sky,2.0,4.0,0.0,0.0
4138,forever,1.0,1.0,0.0,0.0
4172,use this gospel,3.0,6.0,0.0,0.0
4194,the christmas waltz,0.0,1.0,0.0,1.0
4202,price on my head,4.0,3.0,1.0,0.0
4204,call on me - ryan riback remix,2.0,0.0,0.0,0.0
4274,no excuses,1.0,2.0,0.0,0.0
4302,5200,2.0,3.0,0.0,0.0
4312,flip the switch,5.0,4.0,0.0,0.0
4330,grandpas space ship,1.0,2.0,0.0,0.0
4357,never recover,1.0,2.0,0.0,0.0
4374,used to be,1.0,2.0,0.0,0.0
4378,wassup,2.0,3.0,0.0,0.0
4405,outta time,0.0,2.0,0.0,0.0
4441,fefe,5.0,4.0,0.0,0.0
4487,fuck 12,6.0,6.0,0.0,0.0
4545,mantra,2.0,2.0,0.0,0.0
4580,everything we need,1.0,2.0,0.0,0.0
4619,the greatest,1.0,5.0,0.0,0.0
4628,born to be yours,0.0,0.0,0.0,0.0
4649,in your head,5.0,3.0,0.0,0.0
4654,mood swings,2.0,6.0,0.0,0.0
4681,kanga,5.0,6.0,0.0,0.0
4702,chlorine,5.0,3.0,0.0,0.0
4725,i did something bad,4.0,3.0,0.0,0.0
4735,turn up,1.0,2.0,0.0,0.0
4757,white christmas,0.0,1.0,0.0,0.0
4785,racks in the middle,7.0,9.0,0.0,0.0
4823,hope,6.0,5.0,0.0,0.0
4856,perfect strangers,2.0,4.0,0.0,0.0
4862,darkness,7.0,2.0,0.0,0.0
4885,numb numb juice,2.0,3.0,0.0,0.0
4920,sweater weather,1.0,3.0,0.0,1.0
4950,alone,2.0,0.0,0.0,0.0
4978,step into christmas,2.0,2.0,0.0,0.0
4997,now or never,1.0,4.0,0.0,0.0
5005,too much to ask,1.0,3.0,0.0,1.0
5072,surrender,3.0,2.0,0.0,1.0
5118,waiting for love,3.0,2.0,0.0,0.0
5153,desires,2.0,3.0,0.0,0.0
5182,fuck it i love you,1.0,0.0,0.0,1.0
5223,i gotta feeling,3.0,6.0,0.0,0.0
5249,wow.,2.0,1.0,0.0,0.0
5281,sorry,4.0,2.0,0.0,1.0
5284,life is good,6.0,4.0,0.0,0.0
5403,rap god,24.0,15.0,0.0,0.0
5439,all i can think about is you,3.0,0.0,0.0,1.0
5478,undrunk,2.0,4.0,0.0,0.0
5494,harder than my demons,8.0,9.0,0.0,0.0
5497,glorious,2.0,1.0,0.0,0.0
5531,mad love,4.0,0.0,0.0,1.0
